k_factor,finish_multiplier,title_fight_multiplier,five_round_multiplier,log_loss,brier_score,accuracy,num_predictions
60.00,1.30,1.00,1.10,0.679279,0.243192,0.514681,8957
60.00,1.30,1.05,1.10,0.679279,0.243192,0.514681,8957
60.00,1.30,1.10,1.10,0.679279,0.243192,0.514681,8957
60.00,1.30,1.15,1.10,0.679279,0.243192,0.514681,8957
60.00,1.30,1.00,1.05,0.679280,0.243192,0.514681,8957
60.00,1.30,1.05,1.05,0.679280,0.243192,0.514681,8957
60.00,1.30,1.10,1.05,0.679280,0.243192,0.514681,8957
60.00,1.30,1.15,1.05,0.679280,0.243192,0.514681,8957
60.00,1.30,1.00,1.00,0.679281,0.243193,0.514681,8957
60.00,1.30,1.05,1.00,0.679281,0.243193,0.514681,8957
60.00,1.30,1.10,1.00,0.679281,0.243193,0.514681,8957
60.00,1.30,1.15,1.00,0.679281,0.243193,0.514681,8957
60.00,1.20,1.00,1.10,0.679430,0.243265,0.513900,8957
60.00,1.20,1.05,1.10,0.679430,0.243265,0.513900,8957
60.00,1.20,1.10,1.10,0.679430,0.243265,0.513900,8957
60.00,1.20,1.15,1.10,0.679430,0.243265,0.513900,8957
60.00,1.20,1.00,1.05,0.679431,0.243265,0.513900,8957
60.00,1.20,1.05,1.05,0.679431,0.243265,0.513900,8957
60.00,1.20,1.10,1.05,0.679431,0.243265,0.513900,8957
60.00,1.20,1.15,1.05,0.679431,0.243265,0.513900,8957
60.00,1.20,1.00,1.00,0.679431,0.243266,0.513900,8957
60.00,1.20,1.05,1.00,0.679431,0.243266,0.513900,8957
60.00,1.20,1.10,1.00,0.679431,0.243266,0.513900,8957
60.00,1.20,1.15,1.00,0.679431,0.243266,0.513900,8957
60.00,1.10,1.00,1.10,0.679752,0.243421,0.513900,8957
60.00,1.10,1.05,1.10,0.679752,0.243421,0.513900,8957
60.00,1.10,1.10,1.10,0.679752,0.243421,0.513900,8957
60.00,1.10,1.15,1.10,0.679752,0.243421,0.513900,8957
60.00,1.10,1.00,1.05,0.679752,0.243421,0.513900,8957
60.00,1.10,1.05,1.05,0.679752,0.243421,0.513900,8957
60.00,1.10,1.10,1.05,0.679752,0.243421,0.513900,8957
60.00,1.10,1.15,1.05,0.679752,0.243421,0.513900,8957
60.00,1.10,1.00,1.00,0.679753,0.243421,0.513900,8957
60.00,1.10,1.05,1.00,0.679753,0.243421,0.513900,8957
60.00,1.10,1.10,1.00,0.679753,0.243421,0.513900,8957
60.00,1.10,1.15,1.00,0.679753,0.243421,0.513900,8957
60.00,1.00,1.00,1.10,0.680102,0.243590,0.512560,8957
60.00,1.00,1.05,1.10,0.680102,0.243590,0.512560,8957
60.00,1.00,1.10,1.10,0.680102,0.243590,0.512560,8957
60.00,1.00,1.15,1.10,0.680102,0.243590,0.512560,8957
60.00,1.00,1.00,1.05,0.680102,0.243590,0.512560,8957
60.00,1.00,1.05,1.05,0.680102,0.243590,0.512560,8957
60.00,1.00,1.10,1.05,0.680102,0.243590,0.512560,8957
60.00,1.00,1.15,1.05,0.680102,0.243590,0.512560,8957
60.00,1.00,1.00,1.00,0.680103,0.243591,0.512560,8957
60.00,1.00,1.05,1.00,0.680103,0.243591,0.512560,8957
